dish_name,calories_kcal,nutrients,ingredients,user_inputs
Roast Beef Sandwich,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"beef, chili, garlic, ginger, onion, soy sauce","anytime, celebration, dinner, lunch, treat-yourself"
Mushroom Risotto,280,Protein 21g / Fat 10g / Carbs 38g / Fiber 3g,"egg, garlic, mushroom, oil, rice, seasonal vegetables, soy sauce, tofu, vegetables","anytime, comfort, quick_bite"
Ratatouille,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Gnocchi with Tomato Sauce,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Bruschetta,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Caprese Salad,220,Protein 11g / Fat 6g / Carbs 10g / Fiber 5g,"cucumber, lemon, lettuce, olive oil, salt, tomato","anytime, energized, healthy"
Antipasto Platter,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Stuffed Bell Peppers,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","adventurous, anytime, energized"
Vegetable Spring Rolls,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Vietnamese Spring Rolls (Fresh),220,Protein 11g / Fat 6g / Carbs 10g / Fiber 5g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Braised Oxtail,600,Protein 50g / Fat 30g / Carbs 50g / Fiber 3g,"beef, chili, garlic, ginger, onion, soy sauce","anytime, celebration, treat-yourself"
Beef Short Ribs Braised,800,Protein 50g / Fat 45g / Carbs 80g / Fiber 3g,"beef, chili, garlic, ginger, onion, soy sauce","anytime, celebration, treat-yourself"
Sticky Toffee Pudding,500,Protein 13g / Fat 24g / Carbs 70g / Fiber 3g,"butter, cream, egg, flour, milk, sugar","anytime, celebratory, happy, sad, treat-yourself"
Apple Pie with Ice Cream,500,Protein 13g / Fat 24g / Carbs 70g / Fiber 3g,"butter, cream, egg, flour, milk, sugar","afternoon_tea, anytime, celebratory, happy, hot_day, sad, snack, treat-yourself"
Cajun Spiced Shrimp,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","afternoon_tea, anytime, comfort, hot_day, quick_bite, snack"
Coconut Shrimp,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, comfort, quick_bite"
Garlic Butter Prawns,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, comfort, quick_bite"
Sichuan Peppercorn Lamb,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","adventurous, anytime, energized"
Hot and Sour Soup,240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, ginger, salt, scallion","anytime, cold_day, comfort, cozy, dinner, homesick, lunch, rainy_day, sad"
Wonton Soup,240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, ginger, salt, scallion","afternoon_tea, anytime, breakfast, brunch, cold_day, comfort, cozy, dinner, homesick, lunch, quick_bite, rainy_day, sad, street_food"
Pumpkin Soup,240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, ginger, salt, scallion","anytime, cold_day, comfort, cozy, dinner, homesick, lunch, rainy_day, sad"
Miso Soup,240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, ginger, salt, scallion","anytime, cold_day, comfort, cozy, dinner, homesick, lunch, rainy_day, sad"
Tomato and Egg Stir-fry,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, breakfast, brunch, comfort, quick_bite"
Century Egg and Lean Pork Congee,240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, garlic, ginger, oil, pork, rice, salt, scallion, soy sauce, sugar, vegetables","anytime, breakfast, brunch, cold_day, comfort, cozy, homesick, rainy_day, sad"
Lotus Root Stir-fry,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Stir-fried Pea Shoots (Cha Cai),450,Protein 15g / Fat 24g / Carbs 45g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Stir-fried Enoki Mushrooms,430,Protein 21g / Fat 22g / Carbs 53g / Fiber 3g,"garlic, mushroom, seasonal vegetables, soy sauce, tofu","anytime, comfort, quick_bite"
Black Sesame Soup,240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, ginger, salt, scallion","anytime, cold_day, comfort, cozy, dinner, homesick, lunch, rainy_day, sad"
Sesame Balls (Jian Dui),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Chestnut Sweet Soup,440,Protein 9g / Fat 20g / Carbs 60g / Fiber 3g,"broth, egg, ginger, salt, scallion","anytime, celebratory, cold_day, comfort, cozy, dinner, happy, homesick, lunch, rainy_day, sad, treat-yourself"
Roasted Sweet Potato,500,Protein 13g / Fat 24g / Carbs 70g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, celebratory, happy, sad, treat-yourself"
Grilled Corn with Chili and Lime,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","adventurous, anytime, energized"
Salted Egg Yolk Yuba,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, breakfast, brunch, comfort, quick_bite"
Soy Braised Pork Belly (Xiao Rou),480,Protein 30g / Fat 22g / Carbs 50g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","anytime, comfort, quick_bite"
Lotus Leaf Sticky Rice,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, oil, rice, soy sauce, vegetables","anytime, comfort, dinner, lunch, quick_bite"
Maple-glazed Salmon,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, comfort, quick_bite"
Garlic Noodles,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day"
Truffle Fries,450,Protein 15g / Fat 24g / Carbs 45g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Sweet Potato Fries,650,Protein 13g / Fat 36g / Carbs 85g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, celebratory, happy, sad, treat-yourself"
Chicken Caesar Wrap,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","anytime, comfort, quick_bite"
Buffalo Wings,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Onion Rings,450,Protein 15g / Fat 24g / Carbs 45g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Vegetable Samosa,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Matar Paneer,280,Protein 21g / Fat 10g / Carbs 38g / Fiber 3g,"garlic, mushroom, seasonal vegetables, soy sauce, tofu","anytime, comfort, quick_bite"
Butter Naan,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Sushi Roll (California),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, celebration, comfort, date_night, quick_bite"
Okonomiyaki,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Takoyaki,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Umeboshi Onigiri,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Seaweed Salad,220,Protein 11g / Fat 6g / Carbs 10g / Fiber 5g,"cucumber, lemon, lettuce, olive oil, salt, tomato","anytime, energized, healthy"
Chili Crab (Singapore-style),420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","adventurous, anytime, energized"
Black Pepper Crab,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","adventurous, anytime, energized"
Coconut Curry Mussels,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Seafood Paella,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"butter, clam, egg, fish, garlic, lemon, oil, rice, shrimp, soy sauce, vegetables","anytime, celebration, date_night, group_meal"
Grilled Oysters,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, comfort, quick_bite"
